,parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
0,,,9cd4be0432c7b0297d86b19ddeac64ed0feaea87,core/src/test/java/org/apache/accumulo/core/client/summary/summarizers/EntryLengthSummarizersTest.java,Keith Turner,1510696703,A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,e738351fcdf2359997814c2cf105875702799265,server/base/src/test/java/org/apache/accumulo/server/tables/IllegalTableTransitionExceptionTest.java,Mike Miller,1512065481,A,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9d806c86f1efbe2445ef7283351d8490805ce674,core/src/test/java/org/apache/accumulo/core/security/crypto/CryptoTest.java,03139a35f39b54f4bb57a4c26fba105d1dfae1f5,core/src/test/java/org/apache/accumulo/core/security/crypto/CryptoTest.java,Keith Turner,1512066645,M,,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
3,d4722bf1b45df2b5521ad494275a36127c9394f3,core/src/test/java/org/apache/accumulo/core/client/rfile/RFileTest.java,ed313f7703b49343825be26c31f6eed81bc37d83,core/src/test/java/org/apache/accumulo/core/client/rfile/RFileTest.java,Keith Turner,1512073482,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,d4722bf1b45df2b5521ad494275a36127c9394f3,core/src/test/java/org/apache/accumulo/core/file/rfile/MultiLevelIndexTest.java,ed313f7703b49343825be26c31f6eed81bc37d83,core/src/test/java/org/apache/accumulo/core/file/rfile/MultiLevelIndexTest.java,Keith Turner,1512073482,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/MultiLevelIndex.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/MultiLevelIndex.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,d4722bf1b45df2b5521ad494275a36127c9394f3,core/src/test/java/org/apache/accumulo/core/file/rfile/RFileTest.java,ed313f7703b49343825be26c31f6eed81bc37d83,core/src/test/java/org/apache/accumulo/core/file/rfile/RFileTest.java,Keith Turner,1512073482,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,,c28e11c1079d2e1c6d68078b3328016569138fed,core/src/test/java/org/apache/accumulo/core/file/rfile/RolllingStatsTest.java,Keith Turner,1512091273,A,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
7,1c42be28c4e7613cacc01ad542b6c32a7030b764,core/src/test/java/org/apache/accumulo/core/file/blockfile/cache/TestLruBlockCache.java,d1d9344082702206278b3eee442351479171e644,core/src/test/java/org/apache/accumulo/core/file/blockfile/cache/TestLruBlockCache.java,GitHub,1512150836,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/blockfile/cache/lru/LruBlockCache.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/blockfile/cache/lru/LruBlockCache.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1c42be28c4e7613cacc01ad542b6c32a7030b764,core/src/test/java/org/apache/accumulo/core/file/rfile/BlockIndexTest.java,d1d9344082702206278b3eee442351479171e644,core/src/test/java/org/apache/accumulo/core/file/rfile/BlockIndexTest.java,GitHub,1512150836,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/BlockIndex.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/BlockIndex.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1c42be28c4e7613cacc01ad542b6c32a7030b764,core/src/test/java/org/apache/accumulo/core/file/rfile/MultiLevelIndexTest.java,d1d9344082702206278b3eee442351479171e644,core/src/test/java/org/apache/accumulo/core/file/rfile/MultiLevelIndexTest.java,GitHub,1512150836,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/MultiLevelIndex.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/MultiLevelIndex.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1c42be28c4e7613cacc01ad542b6c32a7030b764,core/src/test/java/org/apache/accumulo/core/file/rfile/RFileTest.java,d1d9344082702206278b3eee442351479171e644,core/src/test/java/org/apache/accumulo/core/file/rfile/RFileTest.java,GitHub,1512150836,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,d1d9344082702206278b3eee442351479171e644,core/src/test/java/org/apache/accumulo/core/file/blockfile/cache/BlockCacheManagerTest.java,f565b3aa48369c9b0df08f2786b433c30316b1a4,core/src/test/java/org/apache/accumulo/core/file/blockfile/cache/BlockCacheManagerTest.java,Keith Turner,1512152843,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,,61242a780a7512339616fa165e5d7a61564479bf,server/monitor/src/test/java/org/apache/accumulo/monitor/util/ParameterValidatorTest.java,Mike Miller,1512417524,A,,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
13,13619d57968724d360ef632d8bc11a22a2ba5bac,test/src/main/java/org/apache/accumulo/test/TestBinaryRows.java,ed981b208ac70d9e819b0e8e0b229d8189c859e0,test/src/main/java/org/apache/accumulo/test/TestBinaryRows.java,Christopher Tubbs,1515719736,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,13619d57968724d360ef632d8bc11a22a2ba5bac,test/src/main/java/org/apache/accumulo/test/TestMultiTableIngest.java,ed981b208ac70d9e819b0e8e0b229d8189c859e0,test/src/main/java/org/apache/accumulo/test/TestMultiTableIngest.java,Christopher Tubbs,1515719736,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,13619d57968724d360ef632d8bc11a22a2ba5bac,test/src/main/java/org/apache/accumulo/test/TestRandomDeletes.java,ed981b208ac70d9e819b0e8e0b229d8189c859e0,test/src/main/java/org/apache/accumulo/test/TestRandomDeletes.java,Christopher Tubbs,1515719736,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,13619d57968724d360ef632d8bc11a22a2ba5bac,test/src/main/java/org/apache/accumulo/test/performance/metadata/MetadataBatchScanTest.java,ed981b208ac70d9e819b0e8e0b229d8189c859e0,test/src/main/java/org/apache/accumulo/test/performance/metadata/MetadataBatchScanTest.java,Christopher Tubbs,1515719736,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,,53c30777e96e6880a466eb8282d2b1a9ac9abf93,shell/src/test/java/org/apache/accumulo/shell/commands/SetIterCommandTest.java,Keith Turner,1516212273,A,,/hdd/dj/testSmellDetection/gitRepo/accumulo/shell/src/main/java/org/apache/accumulo/shell/commands/SetIterCommand.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,53c30777e96e6880a466eb8282d2b1a9ac9abf93,shell/src/test/java/org/apache/accumulo/shell/commands/SetIterCommandTest.java,6782ba6b9d43dc9a10df4bbadf3a89eaadb0cf6a,shell/src/test/java/org/apache/accumulo/shell/commands/SetIterCommandTest.java,Christopher Tubbs,1516222208,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/shell/src/main/java/org/apache/accumulo/shell/commands/SetIterCommand.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/shell/src/main/java/org/apache/accumulo/shell/commands/SetIterCommand.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,65f9913f55ada63feeb0e56df1da544b8c7785b1,core/src/test/java/org/apache/accumulo/core/client/ClientConfigurationTest.java,9ac92c726ca3415981e1d973175440374f02060e,core/src/test/java/org/apache/accumulo/core/client/ClientConfigurationTest.java,Christopher Tubbs,1516313085,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/ClientConfiguration.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/ClientConfiguration.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,65f9913f55ada63feeb0e56df1da544b8c7785b1,core/src/test/java/org/apache/accumulo/core/client/impl/ClientContextTest.java,9ac92c726ca3415981e1d973175440374f02060e,core/src/test/java/org/apache/accumulo/core/client/impl/ClientContextTest.java,Christopher Tubbs,1516313085,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/impl/ClientContext.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/impl/ClientContext.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,65f9913f55ada63feeb0e56df1da544b8c7785b1,core/src/test/java/org/apache/accumulo/core/client/impl/TableOperationsImplTest.java,9ac92c726ca3415981e1d973175440374f02060e,core/src/test/java/org/apache/accumulo/core/client/impl/TableOperationsImplTest.java,Christopher Tubbs,1516313085,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/impl/TableOperationsImpl.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/impl/TableOperationsImpl.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,65f9913f55ada63feeb0e56df1da544b8c7785b1,core/src/test/java/org/apache/accumulo/core/client/impl/TabletLocatorImplTest.java,9ac92c726ca3415981e1d973175440374f02060e,core/src/test/java/org/apache/accumulo/core/client/impl/TabletLocatorImplTest.java,Christopher Tubbs,1516313085,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/impl/TabletLocatorImpl.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/impl/TabletLocatorImpl.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,65f9913f55ada63feeb0e56df1da544b8c7785b1,core/src/test/java/org/apache/accumulo/core/client/mapreduce/lib/impl/ConfiguratorBaseTest.java,9ac92c726ca3415981e1d973175440374f02060e,core/src/test/java/org/apache/accumulo/core/client/mapreduce/lib/impl/ConfiguratorBaseTest.java,Christopher Tubbs,1516313085,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/mapreduce/lib/impl/ConfiguratorBase.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/mapreduce/lib/impl/ConfiguratorBase.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,65f9913f55ada63feeb0e56df1da544b8c7785b1,server/tserver/src/test/java/org/apache/accumulo/tserver/replication/ReplicationProcessorTest.java,9ac92c726ca3415981e1d973175440374f02060e,server/tserver/src/test/java/org/apache/accumulo/tserver/replication/ReplicationProcessorTest.java,Christopher Tubbs,1516313085,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/tserver/src/main/java/org/apache/accumulo/tserver/replication/ReplicationProcessor.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/tserver/src/main/java/org/apache/accumulo/tserver/replication/ReplicationProcessor.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,65f9913f55ada63feeb0e56df1da544b8c7785b1,shell/src/test/java/org/apache/accumulo/shell/ShellConfigTest.java,9ac92c726ca3415981e1d973175440374f02060e,shell/src/test/java/org/apache/accumulo/shell/ShellConfigTest.java,Christopher Tubbs,1516313085,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,65f9913f55ada63feeb0e56df1da544b8c7785b1,shell/src/test/java/org/apache/accumulo/shell/ShellSetInstanceTest.java,9ac92c726ca3415981e1d973175440374f02060e,shell/src/test/java/org/apache/accumulo/shell/ShellSetInstanceTest.java,Christopher Tubbs,1516313085,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,65f9913f55ada63feeb0e56df1da544b8c7785b1,test/src/main/java/org/apache/accumulo/test/performance/metadata/MetadataBatchScanTest.java,9ac92c726ca3415981e1d973175440374f02060e,test/src/main/java/org/apache/accumulo/test/performance/metadata/MetadataBatchScanTest.java,Christopher Tubbs,1516313085,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,65f9913f55ada63feeb0e56df1da544b8c7785b1,test/src/main/java/org/apache/accumulo/test/scalability/ScaleTest.java,9ac92c726ca3415981e1d973175440374f02060e,test/src/main/java/org/apache/accumulo/test/scalability/ScaleTest.java,Christopher Tubbs,1516313085,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4d90f21ce37d6eded07faa49309f659e3eafa36a,core/src/test/java/org/apache/accumulo/core/client/ClientConfigurationTest.java,28b53e007f77cbf6c2ddea424d8eaf327f5569ec,core/src/test/java/org/apache/accumulo/core/client/ClientConfigurationTest.java,Christopher Tubbs,1516320755,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/ClientConfiguration.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/client/ClientConfiguration.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,f6c16626ebb3724824ca5be65b0d0ac5b0e60173,core/src/test/java/org/apache/accumulo/core/security/crypto/CryptoTest.java,518c1093de504de77e237b8fdaca28067ce17174,core/src/test/java/org/apache/accumulo/core/security/crypto/CryptoTest.java,Keith Turner,1516407277,M,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,-1.0,0.0
31,518c1093de504de77e237b8fdaca28067ce17174,core/src/test/java/org/apache/accumulo/core/security/crypto/CryptoTest.java,591c3a0dc9d3ba0eb12cba2328e8e5badc6c7f60,core/src/test/java/org/apache/accumulo/core/security/crypto/CryptoTest.java,Keith Turner,1516407363,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,37e2395c690b08c6ab1cb74a31c95560527f8c8b,fate/src/test/java/org/apache/accumulo/fate/zookeeper/RetryFactoryTest.java,79e127f2b1dd7352bdc7b30ceef74391d4930a9f,fate/src/test/java/org/apache/accumulo/fate/zookeeper/RetryFactoryTest.java,Ivan Bella,1516910787,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/fate/src/main/java/org/apache/accumulo/fate/zookeeper/RetryFactory.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/fate/src/main/java/org/apache/accumulo/fate/zookeeper/RetryFactory.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
33,37e2395c690b08c6ab1cb74a31c95560527f8c8b,fate/src/test/java/org/apache/accumulo/fate/zookeeper/RetryTest.java,79e127f2b1dd7352bdc7b30ceef74391d4930a9f,fate/src/test/java/org/apache/accumulo/fate/zookeeper/RetryTest.java,Ivan Bella,1516910787,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/fate/src/main/java/org/apache/accumulo/fate/zookeeper/Retry.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/fate/src/main/java/org/apache/accumulo/fate/zookeeper/Retry.java,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
34,5adeb4b7ed561a0bcea1a1def17835310831662f,core/src/test/java/org/apache/accumulo/core/conf/PropertyTest.java,1fe3ba12a943e590b89b2979e661e7dc447d0774,core/src/test/java/org/apache/accumulo/core/conf/PropertyTest.java,GitHub,1517503096,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/conf/Property.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/conf/Property.java,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1fe3ba12a943e590b89b2979e661e7dc447d0774,fate/src/test/java/org/apache/accumulo/fate/zookeeper/RetryFactoryTest.java,b52db479e9c4e371a94b1f019e818622562e3dc3,fate/src/test/java/org/apache/accumulo/fate/zookeeper/RetryFactoryTest.java,Ivan Bella,1517521801,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/fate/src/main/java/org/apache/accumulo/fate/zookeeper/RetryFactory.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/fate/src/main/java/org/apache/accumulo/fate/zookeeper/RetryFactory.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1fe3ba12a943e590b89b2979e661e7dc447d0774,fate/src/test/java/org/apache/accumulo/fate/zookeeper/RetryTest.java,b52db479e9c4e371a94b1f019e818622562e3dc3,fate/src/test/java/org/apache/accumulo/fate/zookeeper/RetryTest.java,Ivan Bella,1517521801,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/fate/src/main/java/org/apache/accumulo/fate/zookeeper/Retry.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/fate/src/main/java/org/apache/accumulo/fate/zookeeper/Retry.java,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,b52db479e9c4e371a94b1f019e818622562e3dc3,core/src/test/java/org/apache/accumulo/core/conf/PropertyTest.java,cf0b8aa4994e10242478c4d9412d924d7e6de91c,core/src/test/java/org/apache/accumulo/core/conf/PropertyTest.java,Keith Turner,1517591513,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/conf/Property.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/conf/Property.java,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0
38,463f398630dab98c2203456419cf32f75eb03e8d,core/src/test/java/org/apache/accumulo/core/conf/AccumuloConfigurationTest.java,3ca3d65962e5229a44d67ef46233467d53a7016c,core/src/test/java/org/apache/accumulo/core/conf/AccumuloConfigurationTest.java,GitHub,1517868427,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/conf/AccumuloConfiguration.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/conf/AccumuloConfiguration.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0
39,463f398630dab98c2203456419cf32f75eb03e8d,server/base/src/test/java/org/apache/accumulo/server/conf/ZooConfigurationFactoryTest.java,3ca3d65962e5229a44d67ef46233467d53a7016c,server/base/src/test/java/org/apache/accumulo/server/conf/ZooConfigurationFactoryTest.java,GitHub,1517868427,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/conf/ZooConfigurationFactory.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/conf/ZooConfigurationFactory.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,463f398630dab98c2203456419cf32f75eb03e8d,server/base/src/test/java/org/apache/accumulo/server/master/balancer/BaseHostRegexTableLoadBalancerTest.java,3ca3d65962e5229a44d67ef46233467d53a7016c,server/base/src/test/java/org/apache/accumulo/server/master/balancer/BaseHostRegexTableLoadBalancerTest.java,GitHub,1517868427,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,463f398630dab98c2203456419cf32f75eb03e8d,server/base/src/test/java/org/apache/accumulo/server/master/balancer/HostRegexTableLoadBalancerTest.java,3ca3d65962e5229a44d67ef46233467d53a7016c,server/base/src/test/java/org/apache/accumulo/server/master/balancer/HostRegexTableLoadBalancerTest.java,GitHub,1517868427,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/master/balancer/HostRegexTableLoadBalancer.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/master/balancer/HostRegexTableLoadBalancer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,463f398630dab98c2203456419cf32f75eb03e8d,server/base/src/test/java/org/apache/accumulo/server/rpc/TCredentialsUpdatingInvocationHandlerTest.java,3ca3d65962e5229a44d67ef46233467d53a7016c,server/base/src/test/java/org/apache/accumulo/server/rpc/TCredentialsUpdatingInvocationHandlerTest.java,GitHub,1517868427,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/rpc/TCredentialsUpdatingInvocationHandler.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/rpc/TCredentialsUpdatingInvocationHandler.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,3ca3d65962e5229a44d67ef46233467d53a7016c,server/base/src/test/java/org/apache/accumulo/server/conf/NamespaceConfigurationTest.java,3c55eed2198afc90d6c1230783fcdd64e4c7e47d,server/base/src/test/java/org/apache/accumulo/server/conf/NamespaceConfigurationTest.java,GitHub,1517868530,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/conf/NamespaceConfiguration.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/conf/NamespaceConfiguration.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4c0d7dedf25eb1bb34bc5e1184978bbda00e86c3,server/base/src/test/java/org/apache/accumulo/server/master/balancer/TableLoadBalancerTest.java,a17cf69c536260509b8f58e7336acd60e590a67c,server/base/src/test/java/org/apache/accumulo/server/master/balancer/TableLoadBalancerTest.java,Keith Turner,1518038236,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/master/balancer/TableLoadBalancer.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/server/base/src/main/java/org/apache/accumulo/server/master/balancer/TableLoadBalancer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
